mode,day,workload_type,num_jobs,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_minutes,throughput_jobs_per_hour,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std
decentralized,bursty_low_stress,mixed_20_80,1000,EmbeddingBidding,1000,1000,0,1.0,4140.766666666666,14.490070276840845,13358.7651611,30364.070463082604,11989.01607288,29583.638964774098,1369.7594402,1582.9028078190177,0.000600466661,4.1330488274506126e-05
decentralized,bursty_low_stress,mixed_20_80,1000,HeuristicBidding,1000,1000,0,1.0,2378.866666666667,25.222094554830033,8517.068026289999,16272.013178456424,7166.92171159,15477.46542382193,1350.14993848,1635.2167372058216,0.000269504044,1.931788206967114e-05
decentralized,bursty_low_stress,mixed_20_80,1000,PureLocal,1000,1000,0,1.0,3142.5,19.09307875894988,16580.962421099997,27071.894591224318,15020.2613517,26272.7858274735,1560.69751409,1686.827890523678,5.276002519999999e-05,1.2167572855820411e-06
decentralized,bursty_low_stress,mixed_20_80,1000,RandomBidding,1000,584,416,0.584,2348.9166666666665,14.91751516656615,5610.7993546746575,10596.31845347725,4189.621631849314,9791.68937398699,1421.1758246575343,1597.6887439518523,0.00025093655650684934,2.7091050532489873e-05
decentralized,bursty_low_stress,mixed_80_20,1000,EmbeddingBidding,1000,1000,0,1.0,1652.995,36.297750446916055,591.5952984999999,1545.370214170388,132.78144,1073.1503502676912,458.81248705,959.8394252897883,0.0006095154820000001,2.7292225048056263e-05
decentralized,bursty_low_stress,mixed_80_20,1000,HeuristicBidding,1000,1000,0,1.0,1652.995,36.297750446916055,526.97562829,1201.5700969773684,104.21391184999999,589.1371864020053,422.76002048,878.0458609493493,0.00026946954,1.8223050557907038e-05
decentralized,bursty_low_stress,mixed_80_20,1000,PureLocal,1000,1000,0,1.0,1674.3666666666666,35.83444486472497,1136.3695056,2781.2599555855936,607.1636012800001,2062.3514977959835,529.2035530100001,1095.6411638688269,5.2606705099999984e-05,9.362484301118361e-07
decentralized,bursty_low_stress,mixed_80_20,1000,RandomBidding,1000,711,289,0.711,1609.99,26.497058987944026,585.8668971026723,1368.6129742644184,162.1229635724332,767.9737378079147,423.7433195780591,973.1998561978534,0.000249305029535865,2.423156540839613e-05
decentralized,bursty_low_stress,only_large_long,1000,EmbeddingBidding,1000,1000,0,1.0,5009.033333333334,11.978359097896467,22931.179323,41642.72305342095,21292.23534752,41031.3125098497,1638.944006,1541.2443128031534,0.0005954329910000001,3.7812254071913224e-05
decentralized,bursty_low_stress,only_large_long,1000,HeuristicBidding,1000,1000,0,1.0,4721.033333333334,12.709082051245844,21125.876078,38713.14360626369,19469.01469797,38136.1263299299,1656.865133,1642.271540837549,0.000268297555,1.8434097669586838e-05
decentralized,bursty_low_stress,only_large_long,1000,PureLocal,1000,1000,0,1.0,4343.066666666667,13.815122954594298,26151.044488,37640.02713291905,24309.88846322,36888.08843507746,1841.162246,1660.4690033631684,5.279070259999999e-05,1.25616795031263e-06
decentralized,bursty_low_stress,only_large_long,1000,RandomBidding,1000,522,478,0.522,3493.7833333333333,8.964494077575885,11530.712362068965,24494.083090479573,9666.397531417622,23758.64072638416,1864.3119980842912,1707.9603229453553,0.0002492165574712643,2.6077738181699616e-05
decentralized,busy,homogeneous_short,1000,EmbeddingBidding,1000,1000,0,1.0,1623.3,36.96174459434485,153.57194899999996,162.08642210594164,0.0,0.0,153.5712613,162.0862023182871,0.000600443533,2.9563693137340433e-05
decentralized,busy,homogeneous_short,1000,HeuristicBidding,1000,1000,0,1.0,1622.95,36.969715641270525,123.69666699999998,148.98296302098652,0.0,0.0,123.69595488,148.98195334335247,0.000262933627,1.437092848598936e-05
decentralized,busy,homogeneous_short,1000,PureLocal,1000,1000,0,1.0,1623.3,36.96174459434485,171.23849699999997,176.05055286364643,1.570286,24.334370641846053,169.66751953999997,173.97505181871117,5.2084388799999985e-05,1.9846343072046734e-09
decentralized,busy,homogeneous_short,1000,RandomBidding,1000,782,218,0.782,1606.2926499999999,29.210119339088056,164.81572762148338,175.62727385532315,3.657451406649616,37.20581728704526,161.15587410485935,171.85424357080356,0.00023501850127877235,2.1297496891965528e-07
decentralized,busy,mixed_20_80,1000,EmbeddingBidding,1000,1000,0,1.0,4612.016666666666,13.00949331637281,14813.298189,33371.212261768655,13442.56199169,32697.546820474967,1370.7341067300001,1572.4408701001712,0.000595350855,3.92058525012826e-05
decentralized,busy,mixed_20_80,1000,HeuristicBidding,1000,1000,0,1.0,3624.516666666667,16.55393132877487,10912.023908999998,22881.21407921891,9544.71057814,22060.49877541506,1367.3105050400002,1653.5584301677704,0.00026149435100000003,1.5223951600032073e-05
decentralized,busy,mixed_20_80,1000,PureLocal,1000,1000,0,1.0,3534.8,16.97408622835804,15763.777698999998,27372.51255959786,14203.06944309,26621.544095477926,1560.6975140900001,1686.8278905236782,5.2084477599999986e-05,2.8038830218111606e-09
decentralized,busy,mixed_20_80,1000,RandomBidding,1000,581,419,0.581,2366.522,14.73047789118377,5817.236368330465,11764.253204638137,4391.998737762478,10995.301153311724,1425.2383552839933,1620.0197291572124,0.00023500333907056797,2.1221865839473276e-07
decentralized,busy,mixed_80_20,1000,EmbeddingBidding,1000,1000,0,1.0,1622.3,36.98452813906182,488.10949060000013,1186.0104896808054,46.9162135,456.66385675029187,441.19354973,930.6711737844347,0.000600996003,2.6432393551243874e-05
decentralized,busy,mixed_80_20,1000,HeuristicBidding,1000,1000,0,1.0,1620.5533333333333,37.024390845925055,463.89527920000006,1182.6769377675387,66.68871506,572.7335743503835,397.20755673,895.4341293524559,0.00026212611200000004,1.4086916717509978e-05
decentralized,busy,mixed_80_20,1000,PureLocal,1000,1000,0,1.0,1622.3,36.98452813906182,1139.7624512,2903.239488107611,610.55984478,2226.8461396968332,529.20355301,1095.6411638688269,5.2084477599999986e-05,2.8038830218111606e-09
decentralized,busy,mixed_80_20,1000,RandomBidding,1000,708,292,0.708,1622.3,26.18504592245577,429.53590141242967,911.3137959431963,43.48024435028248,272.209858419844,386.05507576271185,797.717871428983,0.00023500156214689266,2.2050437318430998e-07
decentralized,busy,only_large_long,1000,EmbeddingBidding,1000,1000,0,1.0,6037.416666666667,9.938025369570317,28140.092599999996,51537.650015076455,26417.252387270004,50917.40825577137,1722.841559,1618.3930331977697,0.0005899536220000001,3.520414955818747e-05
decentralized,busy,only_large_long,1000,HeuristicBidding,1000,1000,0,1.0,5175.733333333334,11.59256015250657,22469.257809,39550.321935255255,20758.051968000003,38827.45275214424,1711.203755,1650.7373800801624,0.000262011862,1.562029621129781e-05
decentralized,busy,only_large_long,1000,PureLocal,1000,1000,0,1.0,4482.416666666667,13.385636468422911,25061.380499,37996.691625564556,23220.20536301,37289.67873985472,1841.1622459999999,1660.4690033631684,5.2084477599999986e-05,2.8038830218111606e-09
decentralized,busy,only_large_long,1000,RandomBidding,1000,524,476,0.524,3428.633333333333,9.169834433544949,12965.955175572519,24135.706947879717,11109.145518091604,23312.240998849375,1856.8101316793895,1716.2511455170697,0.00023498951908396945,2.1565397363922674e-07
