mode,day,workload_type,num_jobs,rho,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_seconds,throughput_jobs_per_second,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std,makespan_seconds_pct_vs_purelocal,waiting_mean_pct_vs_purelocal,execution_mean_pct_vs_purelocal,turnaround_mean_pct_vs_purelocal
centralized,bursty_low_stress,mixed_80_20,251,0.9,EmbeddingBidding,251,251,0,1.0,98166.467,0.0025568812617041622,2802.472302788845,3038.1968947339587,0.0,0.0,2802.4716533864544,3038.200941560608,7.81043e-05,0.0,200.84% ↑,319.16% ↑,25.42% ↑,302.99% ↑
centralized,bursty_low_stress,mixed_80_20,251,0.9,HeuristicBidding,251,251,0,1.0,98166.467,0.0025568812617041622,2863.0224820717135,3366.008240246659,0.8550796812749004,13.547009876486596,2862.167282868526,3362.748279626094,7.81043e-05,0.0,58.5% ↑,2.0% ↑,1.92% ↑,2.0% ↑
centralized,bursty_low_stress,mixed_80_20,415,1.5,EmbeddingBidding,415,415,0,1.0,105432.948,0.003936150964876748,3406.7870168674704,6705.706028392482,527.8194684337349,3348.6380168742826,2878.9684289156626,4314.838331040343,7.81045139759036e-05,3.078568170447968e-09,,,,
centralized,bursty_low_stress,mixed_80_20,415,1.5,HeuristicBidding,415,415,0,1.0,176286.948,0.0023541164261349627,4027.502481927711,10868.871732022933,974.5785925301204,6577.969378879248,3052.921689156626,5288.155262871455,7.81045139759036e-05,3.078568170447968e-09,,,,
centralized,bursty_low_stress,small_short,2880,0.9,EmbeddingBidding,2880,2880,0,1.0,99292.296,0.029005271466378418,2986.2878836805558,5108.795922748146,1641.5245634444445,4416.746615129807,1344.7641548611111,1195.047723593475,7.810433083333331e-05,1.1698395136382957e-09,-22.04% ↓,-100.0% ↓,-24.2% ↓,-55.42% ↓
centralized,bursty_low_stress,small_short,2880,0.9,HeuristicBidding,2880,2880,0,1.0,583340.996,0.004937078003686201,44943.106071874994,112145.40804105352,43076.55224701736,111077.71134367127,1866.5917416666666,2021.196120882513,7.810433083333331e-05,1.1698395136382957e-09,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_low_stress,small_short,4800,1.5,EmbeddingBidding,4800,4800,0,1.0,610593.209,0.007861207640781343,39737.663312083336,94126.82674481941,37928.32569689812,93229.04208831489,1809.3330954166665,1794.3540635140523,7.810431850000001e-05,9.062167728207319e-10,,,,
centralized,bursty_low_stress,small_short,4800,1.5,HeuristicBidding,4800,4800,0,1.0,1289509.209,0.0037223464295554325,145798.42615291665,298345.3873912845,143589.09269468123,297232.1274422915,2209.337159375,2320.5287372351386,7.810431850000001e-05,9.062167728207319e-10,,,,
centralized,business,large_long,54,0.9,EmbeddingBidding,54,54,0,1.0,102896.0,0.0005248017415642979,7483.740740740741,2888.803462656476,0.0,0.0,7483.723518518519,2888.7623911817764,7.810430000000003e-05,2.735956744811867e-20,-65.36% ↓,-63.03% ↓,-16.5% ↓,-60.81% ↓
centralized,business,large_long,54,0.9,HeuristicBidding,54,54,0,1.0,102896.0,0.0005248017415642979,8578.388888888889,7081.944693178048,0.0,0.0,8578.382407407407,7081.940143392094,7.810430000000003e-05,2.735956744811867e-20,0.0% ,0.0% ,0.0% ,0.0% 
centralized,business,large_long,91,1.5,EmbeddingBidding,91,91,0,1.0,105975.0,0.000858693087992451,7893.143956043955,3541.1701362123167,127.5342857142857,1075.8584312870482,7765.609999999999,2976.384639708234,7.81043e-05,0.0,,,,
centralized,business,large_long,91,1.5,HeuristicBidding,91,91,0,1.0,105975.0,0.000858693087992451,8252.112087912088,4988.6588757976315,25.485604395604398,243.11717104771066,8226.624505494505,4962.914432137692,7.81043e-05,0.0,,,,
centralized,business,mixed_20_80,67,0.9,EmbeddingBidding,67,67,0,1.0,101360.0,0.0006610102604577742,6416.306268656717,3907.0267653882415,0.0,0.0,6416.300985074627,3907.0266120745932,7.810430000000002e-05,1.3654811830960976e-20,-66.75% ↓,-98.24% ↓,-28.48% ↓,-70.5% ↓
centralized,business,mixed_20_80,67,0.9,HeuristicBidding,67,67,0,1.0,102443.0,0.0006540222367560497,7605.8058208955235,7128.981595718167,0.0,0.0,7605.808134328358,7129.003235033931,7.810430000000002e-05,1.3654811830960976e-20,-64.95% ↓,-98.81% ↓,-34.55% ↓,-73.26% ↓
centralized,business,mixed_20_80,112,1.5,EmbeddingBidding,112,112,0,1.0,106275.0,0.0010538696777228887,6182.622321428572,3383.7202370276177,5.1917767857142865,54.9446009502331,6177.434749999999,3383.581968200307,7.810429999999998e-05,2.722687539476028e-20,,,,
centralized,business,mixed_20_80,112,1.5,HeuristicBidding,112,112,0,1.0,106275.0,0.0010538696777228887,6854.3633928571435,5177.728666993686,5.547008928571429,58.70402458101939,6848.820098214286,5141.217063967664,7.810429999999998e-05,2.722687539476028e-20,,,,
centralized,business,mixed_80_20,251,0.9,EmbeddingBidding,251,251,0,1.0,100672.0,0.002493245390972664,2860.3303585657372,3114.2593536961995,0.0,0.0,2860.327486055777,3114.261483984257,7.81043e-05,0.0,0.0% ,0.0% ,0.0% ,0.0% 
centralized,business,mixed_80_20,251,0.9,HeuristicBidding,251,251,0,1.0,121759.0,0.002061449256317808,2872.3115537848603,5085.878692448924,0.0,0.0,2872.3078645418327,5085.876902938279,7.81043e-05,0.0,-31.84% ↓,-98.84% ↓,-21.04% ↓,-53.71% ↓
centralized,business,mixed_80_20,415,1.5,EmbeddingBidding,415,415,0,1.0,99680.5,0.004163301749088337,2783.67156626506,3233.2388210867325,0.0,0.0,2783.672086746988,3233.239463353129,7.810429999999996e-05,4.0706655211437905e-20,,,,
centralized,business,mixed_80_20,415,1.5,HeuristicBidding,415,415,0,1.0,99489.0,0.004171315421805426,2703.0672771084337,3756.3803577519793,0.0,0.0,2703.066190361446,3756.3791375610626,7.810429999999996e-05,4.0706655211437905e-20,,,,
